,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
52,5.0,52.0,1.0,1778.0,58.0,50.0,0.403824522,0.5961754779999999
54,5.0,54.0,0.0,1579.0,74.0,80.0,0.624054983,0.37594501700000005
56,5.0,56.0,1.0,1383.0,66.0,80.0,0.504378284,0.495621716
58,5.0,58.0,1.0,1683.0,94.0,110.0,0.647868852,0.35213114799999995
60,5.0,60.0,1.0,1700.0,75.0,80.0,0.35411764700000004,0.645882353
62,5.0,62.0,0.0,3465.0,89.0,110.0,0.7643678159999999,0.235632184
64,5.0,64.0,1.0,2594.0,110.0,98.0,0.39917184299999997,0.600828157
66,5.0,66.0,0.0,1993.0,110.0,94.0,0.510286001,0.489713999
68,5.0,68.0,1.0,1632.0,50.0,54.0,0.443627451,0.556372549
70,5.0,70.0,0.0,2478.0,50.0,52.0,0.43244425,0.56755575
72,5.0,72.0,1.0,1905.0,87.0,110.0,0.386243386,0.613756614
74,5.0,74.0,0.0,1754.0,80.0,96.0,0.48631699,0.51368301
76,5.0,76.0,1.0,1755.0,50.0,55.0,0.40819209,0.59180791
78,5.0,78.0,0.0,1514.0,45.0,50.0,0.535006605,0.464993395
