,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
62,7,62,0,1978.485,44,23,0.612292542,0.38770745799999995
64,7,64,1,12046.813999999998,23,35,0.42070549799999996,0.579294502
66,7,66,1,3467.74,23,39,0.47069266600000004,0.529307334
68,7,68,0,2286.018,83,79,0.681863129,0.318136871
70,7,70,1,2816.8340000000003,83,81,0.550911644,0.449088356
72,7,72,0,3017.1059999999998,46,23,0.650595465,0.349404535
74,7,74,0,3324.625,53,37,0.812497439,0.187502561
76,7,76,0,3210.0679999999998,83,78,0.513708925,0.486291075
78,7,78,0,1866.3,88,83,0.684375507,0.315624493
80,7,80,0,3734.4640000000004,83,80,0.5962649210000001,0.403735079
82,7,82,0,1796.056,53,45,0.626202936,0.373797064
84,7,84,0,2410.442,30,23,0.577389409,0.42261059100000004
86,7,86,1,8279.899,53,61,0.519084818,0.48091518200000005
88,7,88,0,1793.599,53,43,0.624142767,0.37585723299999996
90,7,90,1,6454.18,53,63,0.488293651,0.511706349
92,7,92,1,4602.482,51,53,0.486811152,0.513188848
94,7,94,0,3877.406,37,23,0.589246414,0.410753586
96,7,96,1,7497.271,73,83,0.5474340320000001,0.452565968
98,7,98,0,2824.2909999999997,23,37,0.564472345,0.435527655
100,7,100,0,1788.3529999999998,84,83,0.660402167,0.33959783299999996
102,7,102,0,5750.016,82,83,0.736561804,0.263438196
104,7,104,0,1763.336,93,83,0.661254288,0.33874571200000003
106,7,106,1,2819.1020000000003,48,53,0.5058307,0.49416930000000003
108,7,108,1,8980.375,83,90,0.677785415,0.322214585
110,7,110,0,1909.2579999999998,83,73,0.580597431,0.419402569
112,7,112,0,1574.9660000000001,11,23,0.625076518,0.37492348200000003
114,7,114,1,2347.152,53,66,0.5944296370000001,0.405570363
116,7,116,0,3036.197,23,11,0.7881019229999999,0.211898077
118,7,118,0,2082.118,23,21,0.685552542,0.314447458
0,8,0,0,4931.005,23,2,0.540960992,0.45903900799999997
2,8,2,1,3136.24,83,89,0.40666756,0.59333244
4,8,4,0,1825.579,91,83,0.646215685,0.353784315
6,8,6,0,5022.577,55,53,0.546733932,0.45326606799999997
8,8,8,1,6017.398,83,85,0.5036590870000001,0.496340913
10,8,10,0,3725.712,87,83,0.482947878,0.5170521220000001
12,8,12,0,3949.768,83,77,0.523281596,0.476718404
14,8,14,0,7526.366,23,9,0.538285692,0.46171430799999996
16,8,16,0,2437.981,69,53,0.6559603039999999,0.344039696
18,8,18,0,4016.5570000000002,32,23,0.623075488,0.37692451200000004
20,8,20,0,1978.586,83,91,0.616267935,0.383732065
22,8,22,0,6621.5830000000005,56,53,0.6004001729999999,0.399599827
24,8,24,0,2055.446,89,83,0.616209528,0.38379047200000005
26,8,26,0,4594.955,83,87,0.542927195,0.457072805
28,8,28,1,3333.158,0,23,0.43889264,0.56110736
30,8,30,1,2664.239,7,23,0.398781948,0.601218052
32,8,32,0,3254.2140000000004,23,7,0.536395848,0.46360415200000005
34,8,34,0,6628.51,53,56,0.43095533700000005,0.569044663
